Date,MF_Equity
2004-11-18 00:00:00-05:00,1.0
2004-11-19 00:00:00-05:00,0.9957410191070432
2004-11-22 00:00:00-05:00,0.997977850284075
2004-11-23 00:00:00-05:00,0.9986589592832068
2004-11-24 00:00:00-05:00,1.0014120287507926
2004-11-26 00:00:00-05:00,1.0028595397500393
2004-11-29 00:00:00-05:00,1.003097995847175
2004-11-30 00:00:00-05:00,0.99997371575613
2004-12-01 00:00:00-05:00,1.0067950324345838
2004-12-02 00:00:00-05:00,1.0069401828799283
2004-12-03 00:00:00-05:00,1.012862126497141
2004-12-06 00:00:00-05:00,1.0103104305427675
2004-12-07 00:00:00-05:00,1.0082454373585215
2004-12-08 00:00:00-05:00,1.0096126166845751
2004-12-09 00:00:00-05:00,1.0068314987279843
2004-12-10 00:00:00-05:00,1.0012585967340772
2004-12-13 00:00:00-05:00,1.0095402237917819
2004-12-14 00:00:00-05:00,1.0101915210338563
2004-12-15 00:00:00-05:00,1.014379338749568
2004-12-16 00:00:00-05:00,1.0091989199721052
2004-12-17 00:00:00-05:00,1.0065223755403068
2004-12-20 00:00:00-05:00,1.011614805075246
2004-12-21 00:00:00-05:00,1.0151721112418792
2004-12-22 00:00:00-05:00,1.0170282459515885
2004-12-23 00:00:00-05:00,1.0206128032188453
2004-12-27 00:00:00-05:00,1.0226873486076304
2004-12-28 00:00:00-05:00,1.025845695392209
2004-12-29 00:00:00-05:00,1.0232793999631382
2004-12-30 00:00:00-05:00,1.0243928997345289
2004-12-31 00:00:00-05:00,1.027957090310467
2005-01-03 00:00:00-05:00,1.0242684931917672
2005-01-04 00:00:00-05:00,1.0139498713805484
2005-01-05 00:00:00-05:00,1.013427396202174
2005-01-06 00:00:00-05:00,1.0137741691394535
2005-01-07 00:00:00-05:00,1.0113498271310137
2005-01-10 00:00:00-05:00,1.0133831182641326
2005-01-11 00:00:00-05:00,1.0131019066526716
2005-01-12 00:00:00-05:00,1.0179122205909572
2005-01-13 00:00:00-05:00,1.0147738811362483
2005-01-14 00:00:00-05:00,1.0153939642302428
2005-01-18 00:00:00-05:00,1.017122205720344
2005-01-19 00:00:00-05:00,1.0125980831513117
2005-01-20 00:00:00-05:00,1.0099186091322543
2005-01-21 00:00:00-05:00,1.012167023699828
2005-01-24 00:00:00-05:00,1.0131502034396254
2005-01-25 00:00:00-05:00,1.0124287834207755
2005-01-26 00:00:00-05:00,1.0183018679780658
2005-01-27 00:00:00-05:00,1.0183565007498627
2005-01-28 00:00:00-05:00,1.0189561971467265
2005-01-31 00:00:00-05:00,1.0207550365898124
2005-02-01 00:00:00-05:00,1.0244797265332621
2005-02-02 00:00:00-05:00,1.0255909653037416
2005-02-03 00:00:00-05:00,1.0221584832106732
2005-02-04 00:00:00-05:00,1.02692686524922
2005-02-07 00:00:00-05:00,1.0237838217197412
2005-02-08 00:00:00-05:00,1.0240814272797842
2005-02-09 00:00:00-05:00,1.0241697648022434
2005-02-10 00:00:00-05:00,1.026864175495036
2005-02-11 00:00:00-05:00,1.0311238828750042
2005-02-14 00:00:00-05:00,1.0352278361851992
2005-02-15 00:00:00-05:00,1.0376971702078295
2005-02-16 00:00:00-05:00,1.0325120993145416
2005-02-17 00:00:00-05:00,1.0333222317651825
2005-02-18 00:00:00-05:00,1.0360419554752611
2005-02-22 00:00:00-05:00,1.033362015650006
2005-02-23 00:00:00-05:00,1.0338707231325386
2005-02-24 00:00:00-05:00,1.0341665130945152
