Date,Gross_Returns,Net_Returns
2008-04-10,-0.0020107763027240005,-0.0025107763027240005
2008-04-11,-0.0012144710772750541,-0.0012556917742994112
2008-04-14,-0.002418818075799868,-0.002626817015322633
2008-04-15,-0.001622143809633427,-0.001795557084897926
2008-04-16,0.00037042002092415476,0.0003690926774291348
2008-04-17,-0.000522589901957757,-0.0006043885309648377
2008-04-18,0.0013357617960108575,0.001335587382241995
2008-04-21,-0.0015432836263877092,-0.0015437558231506299
2008-04-22,0.0010926376005952968,0.001092342976571508
2008-04-23,-0.00037307088601426145,-0.0003732694783800406
2008-04-24,-0.005791050449489833,-0.0057914773550862015
2008-04-25,0.0021897494580705337,0.0021889345563349707
2008-04-28,0.003558788511952002,0.0035582542646640488
2008-04-29,-0.004409462920322748,-0.004409929632754939
2008-04-30,0.005395695882495017,0.005394732049871465
2008-05-01,1.1145735621153697e-05,9.993807485915373e-06
2008-05-02,-0.0010703359696816643,-0.0011333469725341569
2008-05-05,0.0039759670155920385,0.003974798101306613
2008-05-06,-0.0011830648587837528,-0.0011834965530201078
2008-05-07,-0.003072328153965475,-0.003137995999165524
2008-05-08,0.004612759493014251,0.004487924783350056
2008-05-09,0.0005212307673327886,0.0004580064146182124
2008-05-12,5.8995232088776915e-05,-4.229120625799303e-06
2008-05-13,-0.005247531225333659,-0.00531104803154718
2008-05-14,-0.0006622603848934482,-0.0006634120095565018
2008-05-15,0.008262213715423867,0.008262061764998881
2008-05-16,0.0028064883802636454,0.002740747406079165
2008-05-19,0.0017258660147181028,0.001725398674641752
2008-05-20,0.00201836482992573,0.0020180272834549083
2008-05-21,-0.0010746745169131755,-0.00107512425979578
2008-05-22,-0.006636888350381431,-0.006702656584882472
2008-05-23,0.001225060221760478,0.0012233054427556592
2008-05-27,-0.008167910418628112,-0.008168642738465836
2008-05-28,-0.001420842318546405,-0.0014220162005024065
2008-05-29,-0.007820178287178393,-0.007928876445265506
2008-05-30,0.004017686262414637,0.0038184835016630034
2008-06-02,-0.002466093536558429,-0.0024663851260571788
2008-06-03,-0.0004479048971867943,-0.0007540666893644726
2008-06-04,-0.003803983081728973,-0.003804278267524475
2008-06-05,0.0048380265823138435,0.004721823376927912
2008-06-06,0.004076406110366323,0.003861457595576805
2008-06-09,-0.005481323422698424,-0.005789387648746661
2008-06-10,-0.008228051914200502,-0.008312965959072528
2008-06-11,0.006745281622637551,0.006408174431611032
2008-06-12,-0.006599411012411888,-0.006601233523276934
2008-06-13,-0.00020049736481205454,-0.0006666407804767684
2008-06-16,0.0012897219474334212,0.0012894797424316171
2008-06-17,-0.00636512757510829,-0.006856548490619765
2008-06-18,0.008481313858384217,0.007850347864443271
2008-06-19,-0.007098960825395845,-0.007099059716042697
2008-06-20,0.00938259265393934,0.008751689409578003
2008-06-23,-0.005759925489324014,-0.006390199144141738
2008-06-24,0.0011223916325696758,0.0011212941182070669
2008-06-25,-0.0013303461902096818,-0.0013305356127317014
2008-06-26,0.01220407086022905,0.01199327219206537
2008-06-27,0.006787040129685825,0.006785281919661534
2008-06-30,-0.00018688878334153114,-0.00018748468924747143
2008-07-01,0.0032087339129175086,0.0032082787042785406
2008-07-02,0.004299322673806375,0.004298834385919835
2008-07-03,-0.0027496019191818335,-0.0027497959010028203
2008-07-07,-0.0015655069443073068,-0.0015664319282577938
2008-07-08,-0.0005830579302817669,-0.0005833136780562846
2008-07-09,0.00486060341752704,0.004859862354537386
2008-07-10,0.007495278404146437,0.007493938177784985
2008-07-11,0.0008114445139761792,0.0008101732370684805
2008-07-14,0.004956508151822565,0.004955750466665215
2008-07-15,-0.002436076360247558,-0.0024364210115923267
2008-07-16,-0.012876124478236358,-0.012877170033421134
2008-07-17,-0.007408300671248693,-0.00740982611134471
2008-07-18,-0.008707773768998865,-0.009419296917909145
2008-07-21,0.014572043912798068,0.014571659285834367
2008-07-22,-0.02561577077989757,-0.025616001499501967
2008-07-23,-0.029758717061566995,-0.029759071965475923
2008-07-24,-0.006598322791861136,-0.006804291479764299
2008-07-25,-0.006048762319464019,-0.0067591028526430294
2008-07-28,0.005695184106526929,0.004984843573347918
2008-07-29,-0.005915630045920958,-0.006624167756072394
2008-07-30,0.004340493218250764,0.00412423624514208
2008-07-31,0.0030214133513421174,0.003020505349241591
2008-08-01,-0.0011257313030025432,-0.0013422339599122464
2008-08-04,-0.00941971589188282,-0.00941981135841841
2008-08-05,-0.009575114520656038,-0.009576002928333112
2008-08-06,-0.0032159979961830054,-0.004133088105311995
2008-08-07,-0.006759977773618726,-0.006760002441221195
2008-08-08,0.0012567946456097,0.00033333520106159015
2008-08-11,0.0004979571320266096,0.00043395313536174644
2008-08-12,-0.001778081519205449,-0.0022018494009418345
2008-08-13,-0.000534339652737239,-0.0009584522782594476
2008-08-14,0.003990894158471687,0.003990333485078547
2008-08-15,0.003956421525306063,0.00395632050490071
2008-08-18,-0.0005962332472157757,-0.0005971721845687486
2008-08-19,-0.0026589586366870177,-0.0026590533589713576
2008-08-20,0.0031019170836171506,0.003037305542921378
2008-08-21,0.0001018069308513171,0.00010109376662990904
2008-08-22,-0.0022703915104809623,-0.002272031709388781
2008-08-25,0.0037438732917144273,0.003742014074353059
2008-08-26,0.0018577299791025124,0.001857311634594448
2008-08-27,0.0015074848124497317,0.0015069334186639904
2008-08-28,-0.0004518168014623694,-0.00045244955354207
2008-08-29,-0.0016913250059335896,-0.0017560603493892173
2008-09-02,0.0032081063859098185,0.0032079630201822034
2008-09-03,0.0009348106322741893,0.0009339398102301564
2008-09-04,0.003457907891974479,0.0033880789954474216
2008-09-05,-0.000467462663526732,-0.0004679348102269225
2008-09-08,0.008173313530520135,0.00817290751420429
2008-09-09,0.001550454003943784,0.0015495291965612827
2008-09-10,0.00013848161311392693,-0.00010883858643018389
2008-09-11,-0.0010810011028231912,-0.001081767997564538
2008-09-12,-0.00977394047934673,-0.01002188709913136
2008-09-15,0.0019507348822096254,0.0019472365992412152
2008-09-16,-0.000953230371150471,-0.0010231195137388616
2008-09-17,-0.007653953433395429,-0.007723832428856075
2008-09-18,-0.0033819890403271255,-0.0034518680357877715
2008-09-19,-0.004349898590828573,-0.004418329727919931
2008-09-22,-0.01909495974297296,-0.019098474187744942
2008-09-23,-9.201021434860855e-05,-0.000630548922699792
2008-09-24,0.0028917275613744575,0.002891351717307859
2008-09-25,-0.0018339225969820911,-0.002011130882637923
2008-09-26,0.00316745356529228,0.0031673145475338725
2008-09-29,0.005214338755475846,0.00508580768852464
2008-09-30,-0.0054084522265651835,-0.005586170306708923
2008-10-01,0.003667649936302598,0.003489931856158859
2008-10-02,0.011330595519016379,0.011201766442991338
2008-10-03,0.0015669598663863445,0.001565308194143042
2008-10-06,0.014748430833409518,0.014748232237673502
2008-10-07,-0.005367629645023016,-0.005367976489979332
2008-10-08,-0.008073434381712742,-0.00807354700768458
2008-10-09,0.00038509094216125617,0.00020709721326995042
2008-10-10,-0.015004377330224791,-0.01500472348778237
2008-10-13,-0.006015091432420726,-0.006193262151051305
2008-10-14,-0.003014981101753608,-0.0030159167728406057
2008-10-15,0.010729761736701695,0.01072945092325618
2008-10-16,0.0006812019537026821,0.0006803557083412862
2008-10-17,-0.002093871259177688,-0.0020945822993486993
2008-10-20,0.00792075865706465,0.007920175988068306
2008-10-21,0.011560412883030764,0.01155894775046715
2008-10-22,0.015568128422216982,0.015566290227630572
2008-10-23,1.62347010105218e-05,1.4778214363822906e-05
2008-10-24,0.01000948840389852,0.010009157060750992
2008-10-27,0.0003192258264309057,0.00031356803861406476
2008-10-28,-0.012870899588200747,-0.012871062143953442
2008-10-29,-0.011262300677112721,-0.01126236695297485
2008-10-30,-0.004659094859143897,-0.004661500216385627
2008-10-31,0.0025587886350756147,0.002558572140442203
2008-11-03,0.003925548389938411,0.003923791014796392
2008-11-04,-0.0033386693078989436,-0.0033394266947577114
2008-11-05,0.0072057620611841915,0.007203738377336543
2008-11-06,0.004618141820522854,0.004617488399765511
2008-11-07,-0.0041712968095581225,-0.004172349890743317
2008-11-10,0.0025981640206716493,0.0025979663103456252
2008-11-11,0.009880157950777416,0.009879895587439968
2008-11-12,0.004109187836785076,0.004107886925482982
2008-11-13,-0.01953472506650501,-0.019534982279066405
2008-11-14,0.013447599944602482,0.01344660125856037
2008-11-17,0.0015532167444706206,0.0015520367679513185
2008-11-18,0.007394641921218675,0.007394542867421809
2008-11-19,0.013263452866276974,0.013262742038846939
2008-11-20,0.026515596051844125,0.026511387930850103
2008-11-21,-0.008932636770786795,-0.008945653043639236
2008-11-24,-0.020715691178217303,-0.020716874244921628
2008-11-25,0.0060155140194950735,0.006010007117207774
2008-11-26,0.0029538834164599794,0.002583868715026877
2008-11-28,0.006457831650385021,0.006456953124574477
2008-12-01,0.017641580207984054,0.01764107127772609
2008-12-02,-0.0006328109079055506,-0.0006372029983597402
2008-12-03,0.0013355873723627564,0.0013351612336667414
2008-12-04,0.005537858360192098,0.00553748631633872
2008-12-05,-0.004848068280984299,-0.004849409934056024
2008-12-08,-0.0071985990644034825,-0.0071991471286522064
2008-12-09,0.009731065183646167,0.009728402015326753
2008-12-10,-0.003374698341350766,-0.0033759800906733623
2008-12-11,-0.005557861091354429,-0.00555905567189043
2008-12-12,-0.0007279091780042148,-0.0007317082718535368
2008-12-15,-0.002246164727542818,-0.0022465979240686483
2008-12-16,-0.0004371277171156249,-0.00043817692005554355
2008-12-17,0.006865834341231307,0.0066847523396249475
2008-12-18,0.012391286045900507,0.012288844137936475
2008-12-19,0.0009168909815918535,0.0008144490736278219
2008-12-22,0.002061497095617217,0.0020602862902886123
2008-12-23,0.0031172130074780375,0.0031166360581397277
2008-12-24,0.0013343239002625987,0.0013334986680235202
