,date,sma,vol,sharpe
101,2017-09-08T00:00:00,50,60,3.7763071341710273
102,2017-10-09T00:00:00,50,60,3.760246003748697
103,2017-11-07T00:00:00,50,60,3.7616506622754464
104,2017-12-07T00:00:00,50,60,3.745864702865672
105,2018-01-09T00:00:00,50,60,3.758846676031064
106,2018-02-08T00:00:00,50,60,3.6852975355153705
107,2018-03-12T00:00:00,50,60,3.720793946523907
108,2018-04-11T00:00:00,50,60,3.738773953149919
109,2018-05-10T00:00:00,50,60,3.7419505057341746
110,2018-06-11T00:00:00,50,60,3.742998499592384
111,2018-07-11T00:00:00,50,60,3.7499934879493875
112,2018-08-09T00:00:00,50,60,3.7414272005084093
113,2018-09-10T00:00:00,50,60,3.7323911131793968
114,2018-10-09T00:00:00,50,60,3.727962258769708
115,2018-11-07T00:00:00,50,60,3.716904520003672
116,2018-12-10T00:00:00,50,60,3.729073373064751
117,2019-01-10T00:00:00,50,60,3.7432950284482667
118,2019-02-11T00:00:00,50,60,3.7494952703274524
119,2019-03-13T00:00:00,50,60,3.7445669547165776
120,2019-04-11T00:00:00,50,60,3.7569265209722253
121,2019-05-13T00:00:00,50,60,3.7407281065974196
122,2019-06-12T00:00:00,50,60,3.7585359010568875
123,2019-07-12T00:00:00,50,60,3.7613022933689653
124,2019-08-12T00:00:00,50,60,3.777976895566569
125,2019-09-11T00:00:00,50,60,3.7829093002658922
126,2019-10-10T00:00:00,50,60,3.7832066013656513
127,2019-11-08T00:00:00,50,60,3.7956956254854073
128,2019-12-10T00:00:00,50,60,3.7927043181685995
129,2020-01-10T00:00:00,50,60,3.8102945133235577
130,2020-02-11T00:00:00,50,60,3.816653263675562
131,2020-03-12T00:00:00,50,60,3.770447900715292
132,2020-04-13T00:00:00,50,60,3.8235861937104305
133,2020-05-12T00:00:00,50,60,3.814632625843799
134,2020-06-11T00:00:00,50,60,3.8678723056315074
135,2020-07-13T00:00:00,50,60,3.839782136266078
136,2020-08-11T00:00:00,50,120,3.869182884976815
137,2020-09-10T00:00:00,50,60,3.830506755227644
138,2020-10-09T00:00:00,50,60,3.8393577964884105
139,2020-11-09T00:00:00,50,60,3.8453851163069137
140,2020-12-09T00:00:00,50,60,3.8593375970435315
141,2021-01-11T00:00:00,50,60,3.8672825394622485
142,2021-02-10T00:00:00,50,60,3.8596826530843464
143,2021-03-12T00:00:00,50,60,3.8521405161821876
144,2021-04-13T00:00:00,50,60,3.8518681409758906
145,2021-05-12T00:00:00,50,60,3.8515869848154995
146,2021-06-11T00:00:00,50,60,3.8485077209728256
147,2021-07-13T00:00:00,50,60,3.8469557133142205
148,2021-08-11T00:00:00,50,60,3.8370528649295252
149,2021-09-10T00:00:00,50,60,3.8363397557999592
150,2021-10-11T00:00:00,50,60,3.8367103445207733
151,2021-11-09T00:00:00,50,60,3.854729701235398
152,2021-12-09T00:00:00,50,60,3.8505530537921335
153,2022-01-10T00:00:00,50,60,3.8348162632694414
154,2022-02-09T00:00:00,50,60,3.8542518512605146
155,2022-03-11T00:00:00,50,60,3.865780930158388
156,2022-04-11T00:00:00,50,60,3.8448275799011093
157,2022-05-11T00:00:00,50,60,3.853642995963264
158,2022-06-10T00:00:00,50,60,3.857316175914013
159,2022-07-13T00:00:00,50,60,3.861572138969019
160,2022-08-11T00:00:00,50,60,3.8725093826882566
161,2022-09-12T00:00:00,50,60,3.8429733624684856
162,2022-10-11T00:00:00,50,60,3.8715567682186194
163,2022-11-09T00:00:00,50,60,3.8871397504659018
164,2022-12-09T00:00:00,50,60,3.8714496522218194
165,2023-01-11T00:00:00,50,60,3.853646289505916
166,2023-02-10T00:00:00,50,60,3.8413051107545106
167,2023-03-14T00:00:00,50,60,3.847210821570891
168,2023-04-13T00:00:00,50,60,3.8605020066105844
169,2023-05-12T00:00:00,50,60,3.8434627695036845
170,2023-06-13T00:00:00,50,60,3.850930992711697
171,2023-07-14T00:00:00,50,60,3.86786677502465
172,2023-08-14T00:00:00,50,60,3.84326414239617
173,2023-09-13T00:00:00,50,60,3.854582125582246
174,2023-10-12T00:00:00,50,60,3.847792052473861
175,2023-11-10T00:00:00,50,60,3.864212327354961
176,2023-12-12T00:00:00,50,60,3.8810660157985026
177,2024-01-12T00:00:00,50,60,3.8799902846268663
178,2024-02-13T00:00:00,50,60,3.8773989985859423
179,2024-03-14T00:00:00,50,60,3.887066088467218
180,2024-04-15T00:00:00,50,60,3.8912336242113157
181,2024-05-14T00:00:00,50,60,3.8776824093073072
182,2024-06-13T00:00:00,50,60,3.8767984603066106
183,2024-07-16T00:00:00,50,60,3.8838695246469306
184,2024-08-14T00:00:00,50,60,3.882731668228942
185,2024-09-13T00:00:00,50,60,3.893374169175802
186,2024-10-14T00:00:00,50,60,3.8916932330792067
187,2024-11-12T00:00:00,50,60,3.8920409005511476
188,2024-12-12T00:00:00,50,120,3.893930638185715
189,2025-01-15T00:00:00,50,60,3.90901118391296
190,2025-02-14T00:00:00,50,60,3.9213355864306134
191,2025-03-18T00:00:00,50,60,3.922073471232694
192,2025-04-16T00:00:00,50,60,3.9190769050363756
193,2025-05-16T00:00:00,50,60,3.936592058942591
194,2025-06-17T00:00:00,50,60,3.949329720755774
195,2025-07-18T00:00:00,50,60,3.948102193686834
196,2025-08-18T00:00:00,50,60,3.9491363934064094
197,2025-09-17T00:00:00,50,120,3.962373887292113
198,2025-10-16T00:00:00,50,120,3.9658341162630886
199,2025-11-14T00:00:00,50,120,3.9516113680173577
200,2025-12-16T00:00:00,50,120,3.9506067849491604
201,2026-01-16T00:00:00,50,120,3.964514363903706
202,2026-02-18T00:00:00,50,120,3.96617827138629
203,2026-03-19T00:00:00,50,120,3.9762490328056823
204,2026-04-20T00:00:00,50,120,3.9702486993232258
205,2026-05-19T00:00:00,50,120,3.962514614345004
206,2026-06-18T00:00:00,50,120,3.9591552080387533
207,2026-07-21T00:00:00,50,120,3.9523876869033
