Date,Gross_NoMacro,Net_NoMacro,Gross_WithMacro,Net_WithMacro
2009-04-07,-0.026010589151678417,-0.026510589151678417,-0.013005294575839208,-0.013255294575839209
2009-04-08,0.012700293123719033,0.012625893726246696,0.0063501465618595165,0.006312946863123348
2009-04-09,0.01489010517340276,0.014282554772451248,0.00744505258670138,0.007141277386225624
2009-04-13,-0.0019500378058152138,-0.0025282237503629285,-0.0009750189029076069,-0.0012641118751814642
2009-04-14,-0.004406960068421603,-0.005072752721299843,-0.0022034800342108016,-0.0025363763606499213
2009-04-15,0.00737811393852321,0.007371640018830946,0.003689056969261605,0.003685820009415473
2009-04-16,0.003211591305325434,0.0032081891183704018,0.001605795652662717,0.0016040945591852009
2009-04-17,-0.0002222451961009453,-0.0003640174319357543,-0.00011112259805047265,-0.00018200871596787716
2009-04-20,-0.01539510900659143,-0.01540467478842579,-0.007697554503295715,-0.007702337394212895
2009-04-21,0.0028433267237915907,0.0025656394630913853,0.0014216633618957953,0.0012828197315456927
2009-04-22,-0.0017262435265364873,-0.001841775399703651,-0.0008631217632682436,-0.0009208876998518255
2009-04-23,0.0043443279667596,0.004163055238645733,0.0021721639833798,0.0020815276193228665
2009-04-24,0.006237418138222892,0.006226944420187162,0.003118709069111446,0.003113472210093581
2009-04-27,-0.005568568953614465,-0.00560583040417172,-0.0027842844768072323,-0.00280291520208586
2009-04-28,-0.0016442229348844863,-0.0016814843854417423,-0.0008221114674422432,-0.0008407421927208712
2009-04-29,0.008298040477345212,0.008274051039195119,0.004149020238672606,0.004137025519597559
2009-04-30,0.0032586157780057027,0.003220237558272871,0.0016293078890028513,0.0016101187791364355
2009-05-01,0.0016440554005545027,0.0016296913620826275,0.0008220277002772514,0.0008148456810413138
2009-05-04,0.012969657031372579,0.012946290239550236,0.0064848285156862895,0.006473145119775118
2009-05-05,0.001070099687377218,0.0010168428567149735,0.000535049843688609,0.0005084214283574867
2009-05-06,0.010054276678082359,0.010047555648650772,0.005027138339041179,0.005023777824325386
2009-05-07,-0.008688245874615157,-0.008779435338496004,-0.0043441229373075785,-0.004389717669248002
2009-05-08,0.01245887288801168,0.01244663466110118,0.00622943644400584,0.00622331733055059
2009-05-11,-0.004443485253364819,-0.0044530149103737034,-0.0022217426266824096,-0.0022265074551868517
2009-05-12,0.00580163961257844,0.00577643104538913,0.00290081980628922,0.002888215522694565
2009-05-13,-0.007927348128865716,-0.007943420038007874,-0.003963674064432858,-0.003971710019003937
2009-05-14,0.0022414987879778216,0.002225342084506433,0.0011207493939889108,0.0011126710422532165
2009-05-15,-0.003193732096059917,-0.0032057696852862026,-0.0015968660480299584,-0.0016028848426431013
2009-05-18,0.006197183711162562,0.006175372135903626,0.003098591855581281,0.003087686067951813
2009-05-19,0.0043346062787178626,0.004316850030596958,0.0021673031393589313,0.002158425015298479
2009-05-20,0.006530092696478566,0.006518260379728324,0.003265046348239283,0.003259130189864162
2009-05-21,-0.004510880596789642,-0.004516742552786438,-0.002255440298394821,-0.002258371276393219
2009-05-22,0.0009559586803038193,0.0009262660457041511,0.00047797934015190964,0.00046313302285207555
2009-05-26,0.002946943529317137,0.0029390370205339016,0.0014734717646585685,0.0014695185102669508
2009-05-27,-0.005506692065970672,-0.005514654821785597,-0.002753346032985336,-0.0027573274108927985
2009-05-28,0.010611010171208033,0.010276680411197937,0.005305505085604016,0.005138340205598968
2009-05-29,0.01622875576774242,0.015906320707883077,0.00811437788387121,0.007953160353941538
2009-06-01,0.004729048058835432,0.004679621367928869,0.002364524029417716,0.0023398106839644345
2009-06-02,0.004788797937588733,0.004497367487100996,0.0023943989687943666,0.002248683743550498
2009-06-03,-0.01087541692451779,-0.0111127641632234,-0.005437708462258895,-0.0055563820816117
2009-06-04,0.006782831843512683,0.006756047993168295,0.0033914159217563414,0.0033780239965841476
2009-06-05,-0.009999603130331198,-0.010247589489045248,-0.004999801565165599,-0.005123794744522624
2009-06-08,-0.0039194999584090335,-0.0039549583149650945,-0.0019597499792045167,-0.0019774791574825473
2009-06-09,0.007050802805840521,0.007038375508733287,0.0035254014029202606,0.0035191877543666434
2009-06-10,0.0007593318085579671,0.0007471559638604231,0.00037966590427898357,0.00037357798193021156
2009-06-11,0.00546610522869264,0.0054628191417582465,0.00273305261434632,0.0027314095708791232
2009-06-12,-0.0017034136409238285,-0.0017239877749477333,-0.0008517068204619143,-0.0008619938874738667
2009-06-15,-0.014558391645178179,-0.014777658330494856,-0.007279195822589089,-0.007388829165247428
2009-06-16,-0.00304428754613035,-0.003063090484345173,-0.001522143773065175,-0.0015315452421725865
2009-06-17,-0.00023320683941183135,-0.00025295230133790144,-0.00011660341970591567,-0.00012647615066895072
2009-06-18,-0.003488277941266004,-0.003528650735567915,-0.001744138970633002,-0.0017643253677839576
2009-06-19,0.003116359733097362,0.003097034079222565,0.001558179866548681,0.0015485170396112825
2009-06-22,-0.014316764864431925,-0.014331664020668359,-0.007158382432215962,-0.007165832010334179
2009-06-23,0.007614454264105636,0.007308442216631646,0.003807227132052818,0.003654221108315823
2009-06-24,-0.0007980373347068437,-0.000805110985982523,-0.0003990186673534218,-0.0004025554929912615
2009-06-25,0.012219477338163028,0.011953799992200616,0.006109738669081514,0.005976899996100308
2009-06-26,0.00017797234028489765,0.00012813348119343368,8.898617014244883e-05,6.406674059671684e-05
2009-06-29,0.0035813833273964086,0.0035629389393044366,0.0017906916636982043,0.0017814694696522183
2009-06-30,-0.0031779762573481934,-0.0032869229374847403,-0.0015889881286740967,-0.0016434614687423701
2009-07-01,0.0017737957176769466,0.0016823987917957025,0.0008868978588384733,0.0008411993958978512
2009-07-02,-0.011773718593887447,-0.011901080389615466,-0.0058868592969437234,-0.005950540194807733
2009-07-06,-0.004039706598525622,-0.004248444273772189,-0.002019853299262811,-0.0021242221368860943
2009-07-07,-0.003972967347315542,-0.0040328294467682135,-0.001986483673657771,-0.0020164147233841067
2009-07-08,0.008932398748886084,0.008665766807862602,0.004466199374443042,0.004332883403931301
2009-07-09,-0.003039272894625406,-0.003042767053366089,-0.001519636447312703,-0.0015213835266830445
2009-07-10,0.0028254385894941033,0.002684928497700949,0.0014127192947470516,0.0013424642488504745
2009-07-13,-0.0008270865214379496,-0.000830434881204723,-0.0004135432607189748,-0.0004152174406023615
2009-07-14,-0.0035746080216020617,-0.003575984529215631,-0.0017873040108010308,-0.0017879922646078154
2009-07-15,-0.005797240712776605,-0.005802327851381871,-0.0028986203563883023,-0.0029011639256909354
2009-07-16,0.0032618140706843564,0.00294001789335153,0.0016309070353421782,0.001470008946675765
2009-07-17,-0.00039673229787226,-0.000515696388276782,-0.00019836614893613,-0.000257848194138391
2009-07-20,0.00811405522740408,0.00807539358818931,0.00405702761370204,0.004037696794094655
2009-07-21,0.0063413681238379685,0.006191459278027026,0.0031706840619189843,0.003095729639013513
2009-07-22,-0.0016897729960777845,-0.0017764643292940082,-0.0008448864980388922,-0.0008882321646470041
2009-07-23,0.005783119766275632,0.0056964284330594086,0.002891559883137816,0.0028482142165297043
2009-07-24,0.0027709196016583795,0.002720655103603481,0.0013854598008291898,0.0013603275518017405
2009-07-27,0.0006231476299649028,0.0006201375731382681,0.0003115738149824514,0.00031006878656913403
2009-07-28,-0.00215866179801243,-0.0021605823595624595,-0.001079330899006215,-0.0010802911797812298
2009-07-29,-5.773995132906428e-05,-0.0002224919332055135,-2.886997566453214e-05,-0.00011124596660275675
2009-07-30,0.008551714118686903,0.008541544267442337,0.004275857059343451,0.004270772133721169
2009-07-31,0.009771445977495052,0.009678446156974723,0.004885722988747526,0.004839223078487362
2009-08-03,0.003739558968704057,0.003592588185417216,0.0018697794843520286,0.001796294092708608
2009-08-04,0.0010798646710626408,0.0010296174856500278,0.0005399323355313204,0.0005148087428250139
2009-08-05,-0.00027323384467826153,-0.00027947534940119906,-0.00013661692233913077,-0.00013973767470059953
2009-08-06,-0.0036615331820789667,-0.003736536349953905,-0.0018307665910394834,-0.0018682681749769526
2009-08-07,0.0012908496920713704,0.0012872662679883282,0.0006454248460356852,0.0006436331339941641
2009-08-10,-0.0005838575801654286,-0.0005922933402538878,-0.0002919287900827143,-0.0002961466701269439
2009-08-11,-0.003254425473366604,-0.0032599545438132954,-0.001627212736683302,-0.0016299772719066477
2009-08-12,0.0011147006835780678,0.0010408927470134364,0.0005573503417890339,0.0005204463735067182
2009-08-13,0.006751357747816405,0.006677549811251773,0.0033756788739082023,0.0033387749056258864
2009-08-14,-0.006116328860214683,-0.006189340481839823,-0.0030581644301073416,-0.0030946702409199115
2009-08-17,-0.01257895331835037,-0.012619595133792719,-0.006289476659175185,-0.0063097975668963595
2009-08-18,0.0037686544368062203,0.003666299225884845,0.0018843272184031101,0.0018331496129424226
2009-08-19,0.005267588965799995,0.00521337929390258,0.0026337944828999974,0.00260668964695129
