Date,Gross_NoMacro,Net_NoMacro,Gross_WithMacro,Net_WithMacro
2009-04-07,0.9739894108483216,0.9734894108483216,0.9869947054241608,0.9867447054241608
2009-04-08,0.9863593618654937,0.9857805846933191,0.9932622664593836,0.9929739723169718
2009-04-09,1.0010463565024412,0.9998600498878204,1.00065715626556,1.0000650748905897
2009-04-13,0.9990942782618878,0.997332179962655,0.9996814966228712,0.9988008807534663
2009-04-14,0.9946913096729992,0.9922729604327095,0.9974787184044928,0.9962675458105268
2009-04-15,1.0020302554894254,0.999587639497439,1.001158474222313,0.9999396086656064
2009-04-16,1.0052483671456283,1.0027945056853322,1.0027661301478457,1.0015436063513807
2009-04-17,1.0050249555251418,1.0024294710046133,1.0026547001702266,1.0013613166856028
2009-04-20,0.9895524867804875,0.9869873710054535,0.9949367109676807,0.993648493970977
2009-04-21,0.9923661078107447,0.9895196247540778,0.9963511760370685,0.9949231658652636
2009-04-22,0.9906530422411822,0.9876971518516818,0.995491203653173,0.9940069533595206
2009-04-23,0.9949567639579461,0.9918089896538935,0.9976535737915199,0.9960760062867374
2009-04-24,1.001162725324205,0.9979849291079104,1.0007649650399348,0.9991772612514522
2009-04-27,0.9955876816544487,0.992390394849412,0.9979785506828416,0.996376652116312
2009-04-28,0.9939507135545839,0.9907217058962104,0.9971581010720638,0.9955389562250359
2009-04-29,1.002198556808146,0.9989189878564342,1.0012953302145682,0.9996575262926923
2009-04-30,1.0054643368380556,1.0021357442988013,1.0029267485953084,1.0012670936484813
2009-05-01,1.0071173759110992,1.0037689162649193,1.0037511821640028,1.0020829718153095
2009-05-04,1.020179342867002,1.0167639999883238,1.0102603364527536,1.0085696003139255
2009-05-05,1.0212710364628728,1.017797889198677,1.0108008760878575,1.009082378710715
2009-05-06,1.0315391780267824,1.02802427012948,1.0158823119251752,1.0141517843877994
2009-05-07,1.0225769120187873,1.0189987975234736,1.011469194272336,1.009699944380573
2009-05-08,1.035317067783845,1.0316819032763496,1.0177700773331253,1.0159836275430925
2009-05-11,1.0307166516605906,1.0270878083782973,1.0155088541681525,1.0137215324220201
2009-05-12,1.0366964982162088,1.0330207102809543,1.0184546623657855,1.0166493786876512
2009-05-13,1.0284782441708729,1.0248149928712316,1.0144178400347654,1.0126115421645032
2009-05-14,1.0307835769086433,1.027095556803701,1.015554748214236,1.0137382457045212
2009-05-15,1.0274915303149788,1.0238029250038077,1.013933043316897,1.0121133400360738
2009-05-18,1.0338590840900042,1.030125289059533,1.0170748079870233,1.0152384282952913
2009-05-19,1.0383404561672103,1.0345721854451284,1.0192791174113365,1.017429744315416
2009-05-20,1.045120915596486,1.0413157963314843,1.022607110971477,1.0207456803111803
2009-05-21,1.0404064999370228,1.036612440963305,1.0203006816839668,1.0184404575862631
2009-05-22,1.0414010855616822,1.0375726198699238,1.0207883643305546,1.01891213099398
2009-05-26,1.044470035752202,1.040622084211214,1.0222924671630877,1.0204094412308111
2009-05-27,1.0387184608931814,1.034883412616862,1.0194777422540735,1.0175958383081716
2009-05-28,1.0497403130467404,1.0455185787111754,1.0248865866002628,1.0228245919172005
2009-05-29,1.0667762922067296,1.0621489325302054,1.0332029036520483,1.0309592799106728
2009-06-01,1.0718211285606014,1.0671193873707965,1.0356459367449977,1.0333715294485402
