sma_fast,sma_slow,rsi_period,rsi_lower,rsi_upper,macro_gate,total_return,sharpe,max_dd,win_rate,profit_factor,expectancy,total_trades,passes_filters
100,250,21,35,65,unrate_only,3.6754474980712986,0.09978956105329924,8.700417611236597,49.23076923076923,1.1158305652229732,5.654534612417386,65,False
100,200,21,35,65,unrate_only,-1.9785296603469034,-0.02523141771468825,10.822342276733679,47.05882352941176,0.9490776893926561,-2.9096024416865447,68,False
100,150,21,35,65,unrate_only,-3.147102065798335,-0.048335168451552196,9.381676058898837,48.4375,0.9218103304553205,-4.917346977809956,64,False
100,250,21,30,70,unrate_only,-5.768760103740042,-0.10861283102095089,10.11489084067812,40.74074074074074,0.84037825709129,-10.68288908100012,54,False
100,250,14,35,65,unrate_only,-5.3386162169240015,-0.14079718551758214,13.823373921097254,51.5625,0.8071018962923509,-8.341587838943745,64,False
100,200,21,30,70,unrate_only,-8.230896113409635,-0.15089633214821963,11.891887215789671,42.3728813559322,0.8035711475406766,-13.950671378660502,59,False
100,150,21,30,70,unrate_only,-8.514370090456778,-0.1523098270988473,12.884848374081564,43.63636363636363,0.7967849986856055,-15.480672891739601,55,False
100,250,14,30,70,unrate_only,-7.476059254220964,-0.16938322382762322,14.765356722597867,47.05882352941176,0.7705595084727801,-10.99420478561899,68,False
100,150,14,30,70,unrate_only,-9.088025972087234,-0.18450733734674007,16.31433880752555,47.05882352941176,0.7551965410858834,-13.364744076598846,68,False
100,150,14,35,65,unrate_only,-8.831081665084458,-0.21009265530741233,16.077408804808314,49.31506849315068,0.7641545243483325,-12.097372143951283,73,False
100,200,14,35,65,unrate_only,-9.674691025928531,-0.2439720666557806,16.95259358966211,50.0,0.7177369767838193,-13.820987179898033,70,False
100,200,14,30,70,unrate_only,-11.885410412730616,-0.25915076405353366,18.15077067425028,45.20547945205479,0.6916064137647502,-16.28138412702826,73,False
100,250,14,40,60,unrate_only,-7.418639510863431,-0.26012853227417126,13.427023152291708,50.70422535211267,0.6854685471598119,-10.448788043469712,71,False
100,200,14,40,60,unrate_only,-10.236863501525768,-0.3158104529833412,16.432439633876005,48.05194805194805,0.6559485368086723,-13.294627924059462,77,False
100,150,14,40,60,unrate_only,-11.573323715880178,-0.349151005561226,17.676655511313445,46.34146341463415,0.6335875493098435,-14.113809409609932,82,False
100,250,21,40,60,unrate_only,-12.18067648151753,-0.39316861150563054,15.881981249409055,42.465753424657535,0.6246210943246585,-16.685858193859648,73,False
100,250,10,30,70,unrate_only,-14.665957773474164,-0.40915494264152485,18.26851507168163,47.43589743589743,0.5889148686452722,-18.80250996599247,78,False
100,200,10,30,70,unrate_only,-16.101164766847123,-0.41494020460201425,19.315695014609805,49.39759036144578,0.5997486093272114,-19.398993694996513,83,False
100,200,10,35,65,unrate_only,-14.02806244820198,-0.42367372777597867,16.956374019227386,46.51162790697674,0.6215798638177861,-16.311700521165154,86,False
100,250,10,35,65,unrate_only,-13.151098570031392,-0.43961983908964614,15.398907499219503,43.75,0.5964314550162557,-16.438873212539242,80,False
100,150,10,35,65,unrate_only,-15.218807442782872,-0.4511283700150438,18.678077052716745,43.956043956043956,0.611824962493624,-16.723964222838294,91,False
100,150,10,30,70,unrate_only,-19.155911130505903,-0.48654702567258407,22.37322749576658,46.42857142857143,0.5476069038353993,-22.804656107745117,84,False
100,200,21,45,55,unrate_only,-11.011460353483544,-0.5038965546873594,12.751794250705531,41.66666666666667,0.499679573740233,-18.35243392247258,60,False
100,200,21,40,60,unrate_only,-16.876658562486753,-0.504335774975191,19.48603292842563,41.25,0.5825122789292283,-21.095823203108555,80,False
100,250,21,35,65,both,-25.1538142356938,-0.5238099481228368,27.88401763311277,38.83495145631068,0.5833160870563848,-24.42117886960564,103,False
100,250,21,45,55,unrate_only,-9.698617811516689,-0.5245119671527957,11.346209727620117,42.592592592592595,0.4547955276809623,-17.960403354660485,54,False
100,250,21,35,65,payems_only,-24.86611985672741,-0.532645372217558,26.354130405511032,39.58333333333333,0.5783471726494405,-25.902208184091087,96,False
100,150,21,40,60,unrate_only,-18.81850238789044,-0.5437812490521778,21.366919176655,41.46341463414634,0.5661099409610594,-22.949393155963996,82,False
100,250,21,30,70,payems_only,-27.20002794768634,-0.54386297314119,28.096363279853698,34.11764705882353,0.5223619529153717,-32.00003287963095,85,False
100,200,21,30,70,payems_only,-28.20775534953389,-0.5497758793702747,29.2155019372691,34.831460674157306,0.5502898830540787,-31.694107134307735,89,False
100,200,21,30,70,both,-29.15543112579145,-0.5560857864464406,31.226190849219055,33.68421052631579,0.5493696677540216,-30.689927500833214,95,False
100,200,21,35,65,payems_only,-27.04810210876452,-0.5706272279367818,28.593375765209196,38.144329896907216,0.5814326418839473,-27.88464134924169,97,False
100,200,21,35,65,both,-27.873090708421444,-0.5741847399228392,29.9728840451166,37.142857142857146,0.5805393820199445,-26.5458006746871,105,False
