sma_fast,sma_slow,rsi_period,rsi_lower,rsi_upper,macro_gate,net_pnl_pct,sharpe,max_dd,win_rate,profit_factor,expectancy,trades
100,200,14,35,65,unrate_only,6.415073355730565,0.18742339207622197,5.56878402601349,37.5,1.9539415919946175,801.884169466322,8
100,200,14,40,60,unrate_only,6.415073355730565,0.18742339207622197,5.56878402601349,37.5,1.9539415919946175,801.884169466322,8
100,150,14,40,60,unrate_only,5.9442605628083545,0.1726120525047878,5.597830693171704,37.5,1.8186388612980808,743.0325703510475,8
100,150,14,35,65,unrate_only,5.9442605628083545,0.1726120525047878,5.597830693171704,37.5,1.8186388612980808,743.0325703510475,8
100,200,21,30,70,unrate_only,5.089486715649676,0.14142481786095842,6.284614081963123,44.44444444444444,1.5228149295885876,565.498523961076,9
100,250,14,35,65,unrate_only,2.8684433893777896,0.09597290032607879,6.044182777477144,42.857142857142854,1.4770946554523565,409.77762705397095,7
100,250,14,45,55,unrate_only,2.348009135014174,0.09002117219100643,4.817299561400402,50.0,1.500919609698435,391.33485583569586,6
100,250,14,40,60,unrate_only,2.348009135014174,0.09002117219100643,4.817299561400402,50.0,1.500919609698435,391.33485583569586,6
100,200,14,30,70,unrate_only,2.4903836715320065,0.07719623823863662,6.284614081963137,30.0,1.2355299469575676,249.0383671532029,10
100,200,14,45,55,unrate_only,1.4998285059271002,0.06095611548474361,5.606099689693238,42.857142857142854,1.2715803748794847,214.26121513244425,7
100,250,21,45,55,both,1.1659980098238156,0.04813830628862074,4.767336832459234,71.42857142857143,1.3068625619812513,166.57114426054466,7
100,250,21,45,55,payems_only,1.1659980098238156,0.04813830628862074,4.767336832459234,71.42857142857143,1.3068625619812513,166.57114426054466,7
100,200,21,45,55,payems_only,1.1659980098238156,0.04813830628862074,4.767336832459234,71.42857142857143,1.3068625619812513,166.57114426054466,7
100,200,21,45,55,both,1.1659980098238156,0.04813830628862074,4.767336832459234,71.42857142857143,1.3068625619812513,166.57114426054466,7
100,150,14,45,55,unrate_only,1.0507622577626754,0.04548309077404553,5.635134878701464,42.857142857142854,1.1732713583890435,150.10889396609798,7
100,250,14,45,55,payems_only,0.9902579418910318,0.04255755176002215,6.811184032450389,33.33333333333333,1.1619070398359492,110.028660210113,9
100,200,14,45,55,payems_only,0.9696999488150178,0.04199780360044752,6.811184032450389,33.33333333333333,1.1583530693301363,107.74443875722318,9
100,200,14,35,65,payems_only,0.46585042518175035,0.02679642266981073,10.047821605612286,33.33333333333333,1.0325054479524365,31.056695012115824,15
100,200,10,40,60,unrate_only,-0.06664500003455032,0.007845303038838031,6.389969931133412,28.57142857142857,0.9916340491416876,-9.520714290648584,7
100,250,21,45,55,unrate_only,-0.08778096666479542,0.006190388953300187,4.411946123279257,60.0,0.976898166122923,-17.556193332960447,5
100,200,21,45,55,unrate_only,-0.08778096666479542,0.006190388953300187,4.411946123279257,60.0,0.976898166122923,-17.556193332960447,5
100,250,14,35,65,payems_only,-0.4769356341653038,0.004576537928314698,8.274552312912338,35.714285714285715,0.9585451074904108,-34.06683101180636,14
100,250,21,30,70,unrate_only,-0.30485603053172233,0.004573075558788728,6.961653234153499,50.0,0.9653930513965232,-38.10700381646461,8
100,250,21,35,65,unrate_only,-0.30485603053172233,0.004573075558788728,6.961653234153499,50.0,0.9653930513965232,-38.10700381646461,8
100,150,14,45,55,payems_only,-0.28977962654984735,0.003199175484975467,6.099588546344046,30.0,0.9612421483672036,-28.977962654984026,10
100,150,21,45,55,both,-0.2900707411222829,0.0012914356595428128,6.566329268735539,66.66666666666666,0.9316325083668917,-48.34512352037632,6
100,150,21,45,55,payems_only,-0.2900707411222829,0.0012914356595428128,6.566329268735539,66.66666666666666,0.9316325083668917,-48.34512352037632,6
100,250,21,40,60,payems_only,-0.8515485167926964,-0.009829640163501732,8.525060581280563,45.45454545454545,0.8703283947463775,-77.413501526608,11
100,150,21,45,55,unrate_only,-0.5298231455288624,-0.009880885809281762,6.566329268735539,60.0,0.8751246701793229,-105.96462910576827,5
100,250,14,30,70,unrate_only,-0.9254431895493326,-0.011196608518910295,6.431018750210107,33.33333333333333,0.9051300431383169,-102.8270210610358,9
100,200,14,40,60,payems_only,-1.2514371802807729,-0.013313943276803613,10.047821605612286,28.57142857142857,0.9123361637304791,-89.38837002005585,14
100,200,21,35,65,unrate_only,-0.9763544055059902,-0.015646551799404315,7.58831463586321,44.44444444444444,0.8968803006803348,-108.48382283399928,9
100,200,14,35,65,both,-1.887223929105283,-0.02510129269706744,11.072885348241718,31.25,0.8844883565711263,-117.95149556907984,16
100,200,10,35,65,unrate_only,-1.52300479916521,-0.030777581803954745,6.284614081963108,33.33333333333333,0.8468422861023236,-169.22275546280002,9
100,200,10,30,70,unrate_only,-1.52300479916521,-0.030777581803954745,6.284614081963108,33.33333333333333,0.8468422861023236,-169.22275546280002,9
100,250,21,35,65,payems_only,-2.087897802020234,-0.03091953499517766,8.980088933897026,42.857142857142854,0.835220676184393,-149.13555728716017,14
100,250,14,45,55,both,-1.3750988931946049,-0.03114430693101064,6.811184032450384,30.0,0.8346267859076446,-137.50988931946074,10
100,200,14,45,55,both,-1.3951753844859196,-0.03201100241646051,6.811184032450384,30.0,0.8323589029271113,-139.51753844859286,10
100,150,14,40,60,payems_only,-2.4832106532248437,-0.04083749703889485,8.241742519357025,26.666666666666668,0.8404874031195196,-165.54737688165574,15
100,250,14,35,65,both,-2.8079283986540102,-0.049972523558928776,8.274552312912341,33.33333333333333,0.7931944977096579,-187.19522657693278,15
100,150,21,30,70,unrate_only,-2.844746785320094,-0.05049768212187534,10.273624296654729,36.36363636363637,0.8330519810699034,-258.6133441200052,11
100,200,10,35,65,payems_only,-2.786606225683674,-0.05093281722032863,9.672030477646294,35.714285714285715,0.7875145140656264,-199.0433018345483,14
100,250,14,40,60,payems_only,-2.673010597133223,-0.05945991783423013,8.274552312912338,33.33333333333333,0.7352096913915537,-222.75088309443572,12
100,200,14,30,70,payems_only,-3.6513725543559117,-0.06234693950323294,10.721558919662371,29.411764705882355,0.802073999868985,-214.7866208444642,17
100,200,10,30,70,payems_only,-3.471584144021864,-0.06659934949424151,10.308492822277236,33.33333333333333,0.747089719638131,-231.4389429347907,15
100,200,14,40,60,both,-3.564289853207956,-0.06740827072786855,11.072885348241718,26.666666666666668,0.781106567133131,-237.6193235471975,15
100,200,21,30,70,payems_only,-4.074066129225466,-0.06757870040242368,10.681636078231223,35.294117647058826,0.7965601104167658,-239.65094877797014,17
100,150,14,45,55,both,-2.625155890505324,-0.06772260372734684,6.099588546344008,27.27272727272727,0.7277858718440765,-238.65053550048492,11
100,150,14,30,70,unrate_only,-3.45798692734573,-0.07087895113571757,10.681602972319952,27.27272727272727,0.7862558387819818,-314.3624479405212,11
100,250,21,40,60,both,-3.173767235541789,-0.07332584929527446,8.52506058128054,41.66666666666667,0.6375039967635905,-264.48060296181586,12
100,250,21,35,65,both,-4.381159200608396,-0.08322011991968217,8.98008893389702,40.0,0.7022913289693606,-292.0772800405589,15
100,250,14,30,70,payems_only,-4.555521998256925,-0.08837768360695854,11.856819441444506,31.25,0.7076633459673949,-284.7201248910585,16
100,150,14,40,60,both,-4.767213178990453,-0.09368897154538004,9.287387711159639,25.0,0.7282870784203243,-297.9508236869025,16
100,200,21,40,60,payems_only,-4.04986514742377,-0.09428278661041506,9.856934630454404,41.66666666666667,0.5766662700019621,-337.488762285315,12
100,200,21,35,65,payems_only,-5.098074140947952,-0.10095531198661636,10.681636078231223,40.0,0.6668191342881453,-339.8716093965304,15
100,250,10,35,65,payems_only,-4.275088134368649,-0.10458260661080337,8.53721266215191,41.66666666666667,0.5214001358260439,-356.2573445307194,12
100,200,10,35,65,both,-5.063502731466127,-0.10569244304254882,10.701376605282523,33.33333333333333,0.6657608578296937,-337.5668487644068,15
100,150,14,35,65,payems_only,-5.491463110036799,-0.1082736407798173,9.39901462705532,25.0,0.7005078268217848,-343.2164443773004,16
100,200,14,30,70,both,-5.908014819898104,-0.11210693204440177,11.075947630972644,27.77777777777778,0.7097974736515485,-328.22304554989375,18
100,200,21,30,70,both,-6.3208082206632525,-0.1154036488264065,11.699477091550099,33.33333333333333,0.7113657099849766,-351.1560122590688,18
100,200,10,30,70,both,-5.732437347865561,-0.1207309776514076,11.330586046374288,31.25,0.635971227127294,-358.27733424159646,16
100,250,14,40,60,both,-4.952567698124549,-0.12194157104345446,8.274552312912341,30.76923076923077,0.5940700132180528,-380.96674600957965,13
20,250,14,45,55,unrate_only,-1.8343659342215106,-0.13408434064859479,4.775921319836572,20.0,0.5341472284447919,-366.87318684430085,5
100,250,21,30,70,payems_only,-6.743948042354139,-0.13736157134145435,10.360926327683789,37.5,0.6065669258827466,-421.4967526471336,16
100,250,14,30,70,both,-6.790987606657567,-0.1404552836005275,11.856819441444543,29.411764705882355,0.6132764887681901,-399.4698592151509,17
100,250,10,30,70,payems_only,-6.158234783712527,-0.14834448946101153,9.181671077229195,35.714285714285715,0.4288845389842188,-439.8739131223224,14
100,250,10,45,55,unrate_only,-2.2359979706552116,-0.14873477772174257,3.7157252489781967,0.0,0.0,-1117.998985327607,2
100,200,21,35,65,both,-7.320832291765386,-0.15287050029696272,11.699477091550099,37.5,0.5764633980315738,-457.5520182353375,16
20,250,21,45,55,payems_only,-2.680962147864062,-0.15316424335933093,5.772885064529707,25.0,0.5604877417867017,-335.1202684830099,8
20,250,21,45,55,both,-2.680962147864062,-0.15316424335933093,5.772885064529707,25.0,0.5604877417867017,-335.1202684830099,8
100,200,21,40,60,both,-6.29717406539411,-0.15473088572030205,10.884173654668702,38.46153846153847,0.4610752262363317,-484.39800503031654,13
100,150,14,35,65,both,-7.705007448494188,-0.15944047596777805,10.431471948379054,23.52941176470588,0.6194799023907009,-453.2357322643645,17
100,250,10,35,65,both,-6.517121962023885,-0.1668337279872136,8.537212662151926,38.46153846153847,0.4110381077735081,-501.3170740018356,13
100,200,21,45,55,neither,-11.385676198418514,-0.17087858061744224,14.903072410934229,23.076923076923077,0.6662555458661529,-291.9404153440631,39
50,200,21,45,55,unrate_only,-3.443631454662347,-0.1718917335631618,5.251438834519286,33.33333333333333,0.31223918615668067,-573.9385757770558,6
50,150,21,45,55,unrate_only,-3.443631454662347,-0.1718917335631618,5.251438834519286,33.33333333333333,0.31223918615668067,-573.9385757770558,6
100,250,10,45,55,neither,-10.734859670894599,-0.1738051051612784,15.377459825024125,22.58064516129032,0.6288116036467816,-346.28579583531075,31
20,200,14,45,55,unrate_only,-2.5565180516883848,-0.17511339081031807,5.476433986078122,16.666666666666664,0.451367873053108,-426.08634194806245,6
20,150,14,45,55,unrate_only,-2.5565180516883848,-0.17511339081031807,5.476433986078122,16.666666666666664,0.451367873053108,-426.08634194806245,6
20,100,14,45,55,unrate_only,-2.5565180516883848,-0.17511339081031807,5.476433986078122,16.666666666666664,0.451367873053108,-426.08634194806245,6
100,250,10,35,65,unrate_only,-5.374670798344611,-0.17559283503591538,6.188702787127594,42.857142857142854,0.31735873526503,-767.8101140492295,7
100,150,21,35,65,unrate_only,-6.723521319581953,-0.17561298214745677,12.564894811649378,40.0,0.5582927867051384,-672.3521319581932,10
100,200,10,40,60,payems_only,-5.935145910546111,-0.17714735374566834,10.11823843355898,18.181818181818183,0.5640250754473224,-539.5587191405548,11
100,150,10,40,60,unrate_only,-5.866609927808706,-0.18612709264069371,12.337123202726822,25.0,0.5609501295837861,-733.3262409760882,8
100,150,10,35,65,unrate_only,-7.2384450378885665,-0.1878132556926423,11.073809679211074,30.0,0.5252319515522439,-723.8445037888561,10
100,250,21,30,70,both,-8.928157137433823,-0.18823591757788155,10.36092632768379,35.294117647058826,0.5321155560936366,-525.1857139666953,17
20,200,21,45,55,unrate_only,-2.9647182190019086,-0.19091155796983755,4.624069024378848,16.666666666666664,0.42127936324060095,-494.11970316698785,6
