Date,Gross_Returns,Net_Returns
2020-06-17,-0.0005322989234396317,-0.0010322989234396317
2020-06-18,-0.00033141708505914986,-0.00033726028548741017
2020-06-19,-0.0016696151795101012,-0.001679070278789448
2020-06-22,0.00226699054358552,0.0018521473880979567
2020-06-23,0.0017922660007585205,0.0013906345099849444
2020-06-24,-0.0066228329263204894,-0.007018704276499671
2020-06-25,0.0024298202338889985,0.0023752664824144504
2020-06-26,-0.0032045018990333684,-0.0032224894836725792
2020-06-29,0.0019306591362092068,0.0018408285916879693
2020-06-30,0.0006567765336230205,0.000638265727335204
2020-07-01,0.0012416208823204911,0.0011918452619339157
2020-07-02,0.0022127012955544386,0.0021804563276467057
2020-07-06,0.0036848668588845765,0.0036508222508865465
2020-07-07,-0.0017453889787168051,-0.0018004820326848114
2020-07-08,0.002276571143337274,0.0022251566761311266
2020-07-09,-0.0008723838491529625,-0.0008949319718938146
2020-07-10,0.000707134232641055,0.0006475325664245697
2020-07-13,-0.0013811710236244549,-0.0014535302203164452
2020-07-14,0.003095394574001425,0.003060105681664955
2020-07-15,0.002407105273524208,0.002332514777475634
2020-07-16,-0.0011082387940258335,-0.001135642147786821
2020-07-17,0.0016698317979469083,0.0016519225012269951
2020-07-20,0.0019014760002609152,0.0018994672713870812
2020-07-21,0.0024855402976031076,0.0024795143693347524
2020-07-22,0.0018150731697257718,0.0018074419806672008
2020-07-23,-0.0013811684791402456,-0.001397001435153469
2020-07-24,-0.000798710176082762,-0.0008250319574626425
2020-07-27,0.0028008522178587965,0.0027862364235085014
2020-07-28,-0.001022481605628313,-0.0010555721320062038
2020-07-29,0.003845472768126526,0.00383421804382573
2020-07-30,-0.002243419076146213,-0.002257346778951519
2020-07-31,-0.0008807966435681197,-0.0009014132155341735
2020-08-03,0.001708828787572469,0.0016612742755148671
2020-08-04,0.0025718790217504773,0.002534694959479652
2020-08-05,0.0013830099056135717,0.0013573343164569932
2020-08-06,0.0016997794527228963,0.0016804470501413198
2020-08-07,-0.0015637804237626665,-0.0015776872015526228
2020-08-10,0.0007116865516096521,0.0006858053559769368
2020-08-11,-0.0028401844780234654,-0.0028613595161591757
2020-08-12,0.007365806200625083,0.006865513616823223
2020-08-13,-0.0032460439921625614,-0.0034944669480837056
2020-08-14,-0.0016805386607573675,-0.001749762789440842
2020-08-17,0.006772425650004367,0.0067651807372081625
2020-08-18,0.0007752173026097839,0.0007643237822252162
2020-08-19,-0.005011358946956671,-0.005021614618848472
2020-08-20,0.0001140948012733301,5.567133046973656e-05
2020-08-21,-0.0020717794803654837,-0.0021110141035426567
2020-08-24,0.008320243561944229,0.008257097644460231
2020-08-25,0.003194954126042901,0.003118212242399076
2020-08-26,0.0059590200922445945,0.005941995079427389
